AREA,pop_2015,pop_growth,road_motorway,road_asphalt,road_others,CO2_2022,CO2_recent_growth,built_2015,green_2014,GDP_2015,GDP_growth,heatwave,distance_sea,y_pred_dec,ID_HDC_G0,PCA1,PCA2
55.0,123181.2848,0.4992111378143482,29330.8743,769630.8872,3998.2217,55749.00805664063,-0.8065465647470256,42.0008049,0.312845526,4174295040.0,1.0375962166266903,2.791739941,20885.64118946559,4,3,7.4168873,-2.3995957
60.0,114753.1502,0.4862695591360433,60029.5938,768783.2011,23526.4785,59076.197021484375,-0.8065466259239862,38.10174942,0.362784899,4159701504.0,1.157931606987117,4.255020142,2720.1861360911294,4,5,5.547674,-4.0754485
57.0,101498.1456,0.146462582527973,33810.8324,749873.2797,11951.6739,43852.57763671875,-0.8065467609900996,34.50740051,0.353734305,3890861056.0,0.8114748163860153,1.51970005,1513.2608994347302,4,6,6.689993,-2.6888556
54.0,149784.336,0.2182384223674338,34177.058000000005,764745.7470999999,32655.254500000003,80350.72998046875,-0.8065459839528235,41.04495621,0.339630554,4813837312.0,0.8773539777580996,11.39150047,16961.428996740648,4,7,5.7979803,-3.262436
21.0,54993.66046,0.1645473266736807,240.122,266115.98240000004,9152.781,26593.126586914062,-0.8124343595456807,14.4429245,0.365767528,1433503872.0,0.8052052843004365,1.51970005,5030.158767766026,4,9,3.272006,-0.5818081
77.0,105705.565,0.0979826317608845,52052.7059,913978.6707,41671.3877,66248.1025390625,-0.8065467504041337,44.19630814,0.450231396,3647301888.0,0.7597850657791394,2.440020084,711.8137288778204,4,13,6.106042,-4.3810525
35.0,55779.49152,0.4306183872647029,17968.4265,519593.1952,8203.8647,28367.912109375,-0.8065457833213211,26.19052696,0.414440056,1748830592.0,1.083451912079858,2.440020084,21692.97298373001,4,15,4.0014915,-2.0012298
53.0,109579.4602,0.7685159854476042,30827.8892,751023.2178,9852.595,69261.2646484375,-0.8065457078440412,41.97615814,0.311866029,2892286720.0,1.1865310895256442,4.567830086,26628.42345446679,4,16,5.3337,-2.893835
80.0,165225.2385,0.4191959968880887,49759.8467,1276661.2242,8323.3477,98609.01708984376,-0.8065463036868621,62.12906647,0.432148958,5611033088.0,1.087001997629322,4.629179955,30973.375832474907,4,17,10.351336,-3.6187165
36.0,84143.61028,3.9286446667067274,25805.4351,479041.8156,18990.578,56262.365478515625,2.6926792533616304,19.56647682,0.205647037,734362752.0,2.697650635267701,5.521949768,1582.7950160683536,0,19,-4.614652,-4.2148633
